mission_type,mission_seed,fault_label,timestamp_s,true_cht,sensor_cht,egt,rpm,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,injection_timing,health_index,altitude,ambient_temp,throttle,fault_type,fault_severity,rul_seconds
high_altitude,400,injector,0.0,28.23048471983589,28.600994893381934,544.5101249144872,1972.249467076593,70.24829883117509,26.216254394411802,22.38743720995602,0.08248705007284501,13.22532635844653,19.913541380152477,0.8583795529154954,8.0,14.947999999999979,0.95,none,0.0,1567.5
high_altitude,400,injector,1.0,31.601409301408722,31.801439556168532,553.4500982393643,2150.0256610689016,71.80641637025334,26.975311670291983,24.444115516144887,0.2536661823461356,13.285315858576702,19.941186779168444,0.854638669361095,16.0,14.896000000000015,0.95,none,0.0,1566.5
high_altitude,400,injector,2.0,35.04086875427723,34.7511217673241,552.4675244128343,2270.5156101803373,73.99967158374413,26.249994300928307,25.847656787083043,0.20674257991247882,13.459782225457161,20.110363336843296,0.8508217292332743,24.0,14.843999999999994,0.95,none,0.0,1565.5
high_altitude,400,injector,3.0,38.500095532655884,38.77605769140983,563.7556241244097,2360.85711673859,73.6236946059717,27.329969797792437,26.802519133074377,0.26511973366015096,13.460917764201584,19.88158532460303,0.8469828523159685,32.0,14.791999999999973,0.95,none,0.0,1564.5
high_altitude,400,injector,4.0,41.946213199788744,42.24788530884251,562.4046767742132,2414.154689344109,74.44672523764783,28.79639501734267,27.449159680927476,0.16333922740175053,13.493050097505131,20.032699112482188,0.8431585232348677,40.0,14.740000000000009,0.95,none,0.0,1563.5
high_altitude,400,injector,5.0,45.35725495040101,45.48370621267866,566.4025013986956,2463.082754056742,75.60629050772958,29.828648948207857,27.884068617938095,0.20940948364476603,13.52010646521413,20.015300629079277,0.8393731196521257,48.0,14.687999999999988,0.95,none,0.0,1562.5
high_altitude,400,injector,6.0,48.71873921407438,48.27873349987522,574.018880748198,2481.407882838392,75.00156406199318,29.829950435449113,28.173532040820714,0.1722800426693739,13.501846395576901,20.332878262870093,0.8356427124905143,56.0,14.636000000000024,0.95,none,0.0,1561.5
high_altitude,400,injector,7.0,52.02131574296734,51.28611109693336,579.5094785356022,2511.710424919303,76.03645514622234,31.344102047063913,28.36308666114438,0.11907994796759666,13.576640402623756,19.85777506728492,0.8319776781875753,64.0,14.584000000000003,0.95,none,0.0,1560.5
high_altitude,400,injector,8.0,55.259147648941536,55.36308523117117,579.46423671145,2512.0109708605983,75.1825970421796,30.37289625512303,28.484014931666856,0.1973324819347156,13.514882512918511,19.83070749183948,0.8283844942299204,72.0,14.531999999999982,0.95,none,0.0,1559.5
high_altitude,400,injector,9.0,58.428799397528316,58.87641845137436,577.002445915346,2520.3754717222487,75.54758183962016,31.96823238323794,28.557807021437515,0.20597463046354125,13.596696189083634,19.774732244556382,0.8248669732019263,80.0,14.480000000000018,0.95,none,0.0,1558.5
